Rank,Team,Rating,Month,Year
6,New Zealand,88,6,1989
7,Sri Lanka,67,6,1989
1,West Indies,119,7,1989
2,England,119,7,1989
3,Australia,116,7,1989
4,Pakistan,113,7,1989
5,India,99,7,1989
6,New Zealand,88,7,1989
7,Sri Lanka,67,7,1989
1,Australia,119,0,1990
2,West Indies,119,0,1990
3,England,119,0,1990
4,Pakistan,110,0,1990
5,India,98,0,1990
6,New Zealand,88,0,1990
7,Sri Lanka,71,0,1990
1,Australia,120,1,1990
2,West Indies,119,1,1990
3,England,119,1,1990
4,Pakistan,111,1,1990
5,India,98,1,1990
6,New Zealand,88,1,1990
7,Sri Lanka,70,1,1990
1,Australia,120,2,1990
2,West Indies,119,2,1990
3,England,119,2,1990
4,Pakistan,111,2,1990
5,India,96,2,1990
6,New Zealand,92,2,1990
7,Sri Lanka,68,2,1990
1,West Indies,124,3,1990
2,Australia,123,3,1990
3,Pakistan,111,3,1990
4,England,109,3,1990
5,India,96,3,1990
6,New Zealand,86,3,1990
7,Sri Lanka,68,3,1990
1,Australia,124,4,1990
2,West Indies,124,4,1990
3,Pakistan,112,4,1990
4,England,109,4,1990
5,India,92,4,1990
6,New Zealand,85,4,1990
7,Sri Lanka,71,4,1990
1,West Indies,124,5,1990
2,Australia,122,5,1990
3,Pakistan,114,5,1990
4,England,104,5,1990
5,India,94,5,1990
6,New Zealand,87,5,1990
7,Sri Lanka,71,5,1990
1,Australia,122,6,1990
2,West Indies,121,6,1990
3,Pakistan,117,6,1990
4,India,95,6,1990
5,England,89,6,1990
6,New Zealand,88,6,1990
7,Sri Lanka,76,6,1990
1,Australia,122,7,1990
2,West Indies,121,7,1990
3,Pakistan,118,7,1990
4,India,95,7,1990
5,England,89,7,1990
6,New Zealand,86,7,1990
7,Sri Lanka,76,7,1990
1,Pakistan,124,8,1990
2,Australia,122,8,1990
3,West Indies,114,8,1990
4,India,95,8,1990
5,New Zealand,86,8,1990
6,England,84,8,1990
7,Sri Lanka,76,8,1990
1,Pakistan,122,0,1991
2,Australia,121,0,1991
3,West Indies,114,0,1991
4,India,91,0,1991
5,New Zealand,87,0,1991
6,England,85,0,1991
7,Sri Lanka,85,0,1991
1,Australia,123,1,1991
2,Pakistan,122,1,1991
3,West Indies,114,1,1991
4,India,93,1,1991
5,New Zealand,91,1,1991
6,England,84,1,1991
7,Sri Lanka,77,1,1991
1,Australia,125,2,1991
2,Pakistan,122,2,1991
3,West Indies,110,2,1991
4,India,93,2,1991
5,New Zealand,92,2,1991
6,England,82,2,1991
7,Sri Lanka,77,2,1991
1,Australia,126,3,1991
2,Pakistan,122,3,1991
3,West Indies,107,3,1991
4,India,93,3,1991
5,New Zealand,92,3,1991
6,England,86,3,1991
7,Sri Lanka,77,3,1991
1,Pakistan,131,4,1991
2,Australia,127,4,1991
3,New Zealand,92,4,1991
4,India,91,4,1991
5,West Indies,90,4,1991
6,England,90,4,1991
7,Sri Lanka,77,4,1991
1,Australia,127,5,1991
2,Pakistan,125,5,1991
3,West Indies,97,5,1991
4,New Zealand,92,5,1991
5,India,91,5,1991
6,England,90,5,1991
7,Sri Lanka,77,5,1991
1,Australia,127,6,1991
2,Pakistan,125,6,1991
3,India,104,6,1991
4,New Zealand,92,6,1991
5,England,90,6,1991
6,West Indies,89,6,1991
7,Sri Lanka,77,6,1991
8,South Africa,51,6,1991
1,Australia,127,7,1991
2,Pakistan,116,7,1991
3,India,100,7,1991
4,West Indies,99,7,1991
5,New Zealand,92,7,1991
6,England,90,7,1991
7,Sri Lanka,77,7,1991
8,South Africa,76,7,1991
1,Australia,128,0,1992
2,Pakistan,116,0,1992
3,India,103,0,1992
4,West Indies,95,0,1992
5,New Zealand,92,0,1992
6,England,90,0,1992
7,Sri Lanka,76,0,1992
8,South Africa,76,0,1992
1,Australia,127,1,1992
2,Pakistan,114,1,1992
3,India,100,1,1992
4,West Indies,99,1,1992
5,England,97,1,1992
6,New Zealand,86,1,1992
7,Sri Lanka,79,1,1992
8,South Africa,76,1,1992
1,Australia,122,2,1992
2,Pakistan,112,2,1992
3,England,104,2,1992
4,West Indies,100,2,1992
5,India,97,2,1992
6,New Zealand,93,2,1992
7,South Africa,87,2,1992
8,Sri Lanka,77,2,1992
1,Australia,119,3,1992
2,Pakistan,114,3,1992
3,England,108,3,1992
4,West Indies,99,3,1992
5,New Zealand,98,3,1992
6,India,94,3,1992
7,South Africa,90,3,1992
8,Sri Lanka,76,3,1992
1,Australia,119,4,1992
2,Pakistan,112,4,1992
3,England,110,4,1992
4,West Indies,101,4,1992
5,New Zealand,98,4,1992
6,India,94,4,1992
7,South Africa,84,4,1992
